0,0,0.4,0.6,0.8,1,1,1,1.0107,1.0214,1.0384,1.0604,1.0863,1.1173,1.1552,1.2029,1.2657,1.3515,1.4591,1.5297,1.6002,1.6887,1.7899,1.8604,1.9309,2.0181,2.1181,2.1899,2.2617,2.3486,2.4468,2.536,2.6086,2.6762,2.7549,2.8501,2.9467,3.0267,3.094,3.1653,3.2532,3.3527,3.4242,3.4956,3.5825,3.681,3.7706,3.8431,3.9103,3.9888,4.0841,4.181,4.2612,4.3284,4.3994,4.487,4.5868,4.6583,4.7298,4.8168,4.9152,5.0047,5.0772,5.1445,5.223,5.3183,5.4152,5.4953,5.5625,5.6336,5.7212,5.821,5.8925,5.9639,6.0508,6.1493,6.2389,6.3113,6.3786,6.4571,6.5524,6.6493,6.7294,6.7966,6.8676,6.9553,7.0551,7.1266,7.198,7.2849,7.3834,7.473,7.5454,7.6127,7.6912,7.7865,7.8834,7.9635,8.0307,8.1017,8.1894,8.2891,8.3606,8.4321,8.519,8.6175,8.707,8.7794,8.8467,8.9252,9.0205,9.1175,9.1975,9.2647,9.3357,9.4234,9.5232,9.5946,9.6661,9.753,9.8515,9.941,10
0.2,0,0,0,0,0,0,4.8103e-12,2.9405,4.8516,6.6094,7.6672,8.1481,8.3399,8.4076,8.434,8.4526,8.4745,8.4973,8.5181,8.5369,8.5579,8.5778,8.5979,8.6159,8.6355,8.6544,8.6733,8.6906,8.7091,8.7266,8.7418,8.7615,8.7783,8.7947,8.812,8.8256,8.8423,8.8601,8.8751,8.8909,8.9052,8.9214,8.9357,8.9506,8.9641,8.9755,8.9926,9.0069,9.0203,9.034,9.0438,9.0576,9.0732,9.0856,9.0984,9.1092,9.123,9.1349,9.1469,9.1571,9.1655,9.1804,9.1927,9.2036,9.2143,9.2212,9.2326,9.2464,9.2567,9.267,9.2749,9.2868,9.2968,9.3064,9.3139,9.3199,9.333,9.3437,9.3526,9.3609,9.3653,9.3748,9.387,9.3958,9.404,9.4096,9.4199,9.4283,9.436,9.4413,9.4454,9.457,9.4663,9.4737,9.48,9.4824,9.4904,9.5014,9.5088,9.5153,9.519,9.528,9.5352,9.5413,9.5449,9.5473,9.5578,9.566,9.572,9.5768,9.5775,9.5843,9.5943,9.6006,9.6058,9.6079,9.6159,9.622,9.6269,9.629,9.6302,9.6417
0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4.8103e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0107,2.9405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0214,4.8516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
